"Date","Anomaly in Onset of Spring (weeks)"
"1993",-1.843
"1994",-0.875
"1995",-1.145
"1996",-1.097
"1997",-3.383
"1998",-1.208
"1999",0.141
"2000",2.046
"2001",-1.431
"2002",0.792
"2003",-2.256
"2004",-0.97
"2005",-0.145
"2006",1.426
"2007",-1.78
"2008",-0.542
"2009",-0.685
"2010",1.776
"2011",-0.113
"2012",4.474
"2013",3.347
"2014",-1.002
"2015",-2.447
"2016",1.268
"2017",-0.431
"2018",6.061
"2019",-1.129
"2020",0.776
"2021",0.315
"2022",0.061
"2023",0.347
"2024",1.839
"2025",-0.478
