"Date","Anomaly in Onset of Spring (weeks)"
"1993",-1.757
"1994",-2.017
"1995",-1.307
"1996",0.525
"1997",-1.951
"1998",1.052
"1999",1.364
"2000",2.184
"2001",-0.395
"2002",-0.926
"2003",-2.6
"2004",-0.768
"2005",-0.428
"2006",1.635
"2007",-1.45
"2008",-1.545
"2009",-1.219
"2010",0.972
"2011",1.202
"2012",3.349
"2013",1.276
"2014",-0.871
"2015",1.415
"2016",1.653
"2017",0.184
"2018",-1.142
"2019",-2.072
"2020",-0.673
"2021",3.232
"2022",1.078
"2023",3.616
"2024",1.067
"2025",NA
