"Date","Anomaly in Onset of Spring (weeks)"
"1993",-1.943
"1994",0.629
"1995",-1.657
"1996",-0.514
"1997",-1.229
"1998",0.629
"1999",0.486
"2000",1.343
"2001",-0.657
"2002",1.486
"2003",-0.514
"2004",-1.943
"2005",-1.8
"2006",0.486
"2007",-1.229
"2008",-0.229
"2009",-0.086
"2010",0.914
"2011",0.629
"2012",2.629
"2013",0.771
"2014",0.2
"2015",-1.229
"2016",1.2
"2017",-0.943
"2018",0.629
"2019",-0.229
"2020",0.629
"2021",0.914
"2022",0.629
"2023",0.914
"2024",0.914
"2025",NA
