"Date","Anomaly in Onset of Spring (weeks)"
"1993",-0.16
"1994",-1.565
"1995",-0.86
"1996",-0.584
"1997",-2.879
"1998",-1.422
"1999",-0.107
"2000",3.993
"2001",-1.284
"2002",-0.284
"2003",-3.427
"2004",-2.255
"2005",-0.793
"2006",2.107
"2007",-3.636
"2008",-0.555
"2009",-1.746
"2010",1.773
"2011",-0.288
"2012",5.231
"2013",3.402
"2014",-0.865
"2015",-2.031
"2016",1.497
"2017",0.826
"2018",3.873
"2019",-2.188
"2020",1.212
"2021",2.016
"2022",0.997
"2023",2.354
"2024",0.302
"2025",-0.612
