"Date","Anomaly in Onset of Spring (weeks)"
"1993",-0.733
"1994",-1.59
"1995",-0.59
"1996",-0.162
"1997",-2.019
"1998",-0.448
"1999",1.41
"2000",2.267
"2001",-0.733
"2002",-0.448
"2003",-2.305
"2004",-2.019
"2005",-1.305
"2006",0.981
"2007",-2.162
"2008",-1.019
"2009",-0.733
"2010",1.552
"2011",-0.733
"2012",3.838
"2013",2.552
"2014",0.124
"2015",-2.733
"2016",0.552
"2017",-0.019
"2018",2.41
"2019",-0.305
"2020",-0.59
"2021",2.695
"2022",2.267
"2023",4.124
"2024",1.41
"2025",NA
