"Date","Anomaly in Onset of Spring (weeks)"
"1993",-2.364
"1994",0.645
"1995",-2.505
"1996",-2.068
"1997",-3.08
"1998",-0.474
"1999",0.056
"2000",3.141
"2001",-1.655
"2002",2.05
"2003",-1.175
"2004",-1.595
"2005",-0.423
"2006",1.512
"2007",-2.342
"2008",0.247
"2009",-0.699
"2010",1.725
"2011",0.927
"2012",5.313
"2013",1.296
"2014",-0.964
"2015",-2.614
"2016",3.162
"2017",-1.257
"2018",3.505
"2019",-0.979
"2020",-0.224
"2021",0.034
"2022",0.803
"2023",0.648
"2024",0.663
"2025",-0.311
