"Date","Anomaly in Onset of Spring (weeks)"
"1993",-1.929
"1994",-1.357
"1995",-0.214
"1996",-0.357
"1997",-1.214
"1998",0.357
"1999",0.357
"2000",0.786
"2001",-0.357
"2002",0.643
"2003",-2.357
"2004",-2.643
"2005",0.071
"2006",2.5
"2007",-0.786
"2008",0.071
"2009",-0.071
"2010",2.071
"2011",-0.071
"2012",4.071
"2013",-0.5
"2014",-0.643
"2015",-1.929
"2016",0.643
"2017",0.786
"2018",0.071
"2019",-1.214
"2020",0.643
"2021",1.357
"2022",1.214
"2023",1.071
"2024",0.786
"2025",0.214
