"Date","Anomaly in Onset of Spring (weeks)"
"1993",-1.796
"1994",-0.479
"1995",-1.115
"1996",-2.358
"1997",-3.348
"1998",-2.341
"1999",3.214
"2000",5.972
"2001",-0.779
"2002",-0.929
"2003",-2.798
"2004",-2.628
"2005",-1.925
"2006",0.588
"2007",-3.916
"2008",-2.613
"2009",-0.686
"2010",3.765
"2011",-0.091
"2012",3.285
"2013",4.772
"2014",2.128
"2015",-1.828
"2016",4.384
"2017",-1.142
"2018",3.754
"2019",-2.123
"2020",-3.248
"2021",0.385
"2022",3.894
"2023",0.209
"2024",-0.681
"2025",-0.363
