"Date","Anomaly in Onset of Spring (weeks)"
"1993",-1.274
"1994",-0.989
"1995",-1.617
"1996",-0.331
"1997",-1.96
"1998",0.954
"1999",0.954
"2000",0.754
"2001",-0.017
"2002",-0.189
"2003",-1.017
"2004",-1.274
"2005",-0.674
"2006",1.783
"2007",-0.36
"2008",-0.674
"2009",-0.217
"2010",2.983
"2011",0.954
"2012",1.954
"2013",0.783
"2014",-0.76
"2015",-1.531
"2016",1.126
"2017",0.269
"2018",0.44
"2019",-0.389
"2020",-0.76
"2021",0.954
"2022",0.126
"2023",0.869
"2024",1.669
"2025",NA
