"Date","Anomaly in Onset of Spring (weeks)"
"1993",-2.344
"1994",-0.858
"1995",-1.058
"1996",-0.772
"1997",-1.458
"1998",-0.258
"1999",0.113
"2000",1.942
"2001",-0.772
"2002",0.256
"2003",-2.201
"2004",-3.972
"2005",-0.344
"2006",2.113
"2007",-1.344
"2008",-0.144
"2009",-0.115
"2010",1.228
"2011",-0.058
"2012",4.742
"2013",-0.572
"2014",-0.858
"2015",-2.23
"2016",1.713
"2017",0.456
"2018",-0.201
"2019",-1.087
"2020",2.513
"2021",4.228
"2022",1.342
"2023",0.599
"2024",0.056
"2025",-0.201
