"Date","Anomaly in Onset of Spring (weeks)"
"1993",-1.905
"1994",-1.19
"1995",-1.619
"1996",-0.619
"1997",-0.762
"1998",0.381
"1999",0.238
"2000",2.952
"2001",-0.619
"2002",0.381
"2003",-2.333
"2004",-2.048
"2005",-0.048
"2006",2.524
"2007",-1.333
"2008",0.81
"2009",-0.19
"2010",2.095
"2011",-0.19
"2012",5.381
"2013",-0.905
"2014",-0.762
"2015",-2.048
"2016",1.095
"2017",-0.762
"2018",-0.19
"2019",-1.333
"2020",0.524
"2021",1.381
"2022",1.095
"2023",0.81
"2024",0.667
"2025",-0.333
