"Date","Anomaly in Onset of Spring (weeks)"
"1993",-1.39
"1994",-0.962
"1995",-1.533
"1996",-0.39
"1997",-2.105
"1998",0.895
"1999",0.895
"2000",-0.105
"2001",-0.248
"2002",-0.39
"2003",-0.676
"2004",-1.533
"2005",-0.962
"2006",1.61
"2007",0.038
"2008",-0.248
"2009",-0.105
"2010",3.038
"2011",0.61
"2012",2.038
"2013",0.895
"2014",-0.676
"2015",-1.105
"2016",1.324
"2017",0.467
"2018",0.181
"2019",-0.39
"2020",-0.39
"2021",0.895
"2022",0.324
"2023",0.895
"2024",1.752
"2025",NA
