"Date","Anomaly in Onset of Spring (weeks)"
"1993",-2.776
"1994",-0.062
"1995",-1.919
"1996",-1.348
"1997",-0.633
"1998",-0.49
"1999",1.224
"2000",0.795
"2001",-1.633
"2002",0.224
"2003",-1.348
"2004",-3.49
"2005",-2.062
"2006",0.795
"2007",-2.062
"2008",-0.205
"2009",-1.633
"2010",0.224
"2011",-0.633
"2012",5.51
"2013",0.938
"2014",0.081
"2015",-0.919
"2016",1.938
"2017",-0.919
"2018",3.51
"2019",-0.205
"2020",0.224
"2021",2.081
"2022",4.795
"2023",0.652
"2024",0.652
"2025",NA
