"Date","Anomaly in Onset of Spring (weeks)"
"1993",-3.095
"1994",0.803
"1995",-1.656
"1996",-0.85
"1997",-1.676
"1998",-0.197
"1999",-0.115
"2000",0.997
"2001",-1.207
"2002",0.712
"2003",-1.39
"2004",-3.768
"2005",-0.707
"2006",2.569
"2007",-2.962
"2008",0.242
"2009",-0.819
"2010",0.252
"2011",-0.799
"2012",4.905
"2013",-1.115
"2014",-1.105
"2015",-2.482
"2016",6.487
"2017",-2.125
"2018",-0.054
"2019",-0.237
"2020",4.222
"2021",2.007
"2022",3.161
"2023",0.599
"2024",1.742
"2025",0.559
