"Date","Anomaly in Onset of Spring (weeks)"
"1993",-2.627
"1994",0.145
"1995",-1.589
"1996",-1.112
"1997",-2.77
"1998",0.202
"1999",-0.103
"2000",1.954
"2001",-1.046
"2002",0.764
"2003",-1.455
"2004",-3.522
"2005",-0.827
"2006",2.278
"2007",-2.246
"2008",0.85
"2009",-1.474
"2010",0.316
"2011",0.754
"2012",4.945
"2013",-0.808
"2014",-0.674
"2015",-2.417
"2016",5.926
"2017",-2.055
"2018",-0.465
"2019",0.297
"2020",0.24
"2021",2.43
"2022",4.088
"2023",0.45
"2024",0.345
"2025",1.316
