"Date","Anomaly in Onset of Spring (weeks)"
"1993",-0.964
"1994",-0.893
"1995",-0.607
"1996",-0.274
"1997",-2.226
"1998",0.726
"1999",0.964
"2000",2.417
"2001",0.012
"2002",-0.321
"2003",-1.488
"2004",-0.964
"2005",-0.44
"2006",1.393
"2007",-1.321
"2008",-0.464
"2009",-0.774
"2010",1.726
"2011",1.036
"2012",2.321
"2013",1.298
"2014",-0.56
"2015",-1.821
"2016",0.774
"2017",-0.06
"2018",1.798
"2019",-1.107
"2020",-0.964
"2021",0.083
"2022",0.702
"2023",2.679
"2024",1.393
"2025",NA
