"Date","Anomaly in Onset of Spring (weeks)"
"1993",-1.687
"1994",-1.418
"1995",-0.96
"1996",-0.266
"1997",-1.888
"1998",1.413
"1999",1.349
"2000",0.918
"2001",0.008
"2002",-0.527
"2003",-1.392
"2004",-1.198
"2005",-0.353
"2006",2.554
"2007",-0.529
"2008",-1.134
"2009",-0.512
"2010",2.679
"2011",2.155
"2012",2.537
"2013",1.334
"2014",-1.313
"2015",-1.945
"2016",1.05
"2017",0.422
"2018",-0.493
"2019",-1.424
"2020",-0.525
"2021",1.358
"2022",-0.21
"2023",2.084
"2024",1.523
"2025",NA
