"Date","Anomaly in Onset of Spring (weeks)"
"1993",-0.442
"1994",-1.79
"1995",-1.09
"1996",-0.646
"1997",-2.008
"1998",-0.91
"1999",1.104
"2000",5.474
"2001",-0.96
"2002",-1.285
"2003",-3.052
"2004",-2.839
"2005",-0.953
"2006",1.065
"2007",-3.252
"2008",-1.639
"2009",-1.395
"2010",0.598
"2011",-0.305
"2012",5.056
"2013",1.374
"2014",0.53
"2015",-1.61
"2016",2.189
"2017",0.3
"2018",3.577
"2019",-1.491
"2020",-0.196
"2021",2.725
"2022",1.871
"2023",3.044
"2024",-0.142
"2025",NA
