"Date","Anomaly in Onset of Spring (weeks)"
"1993",-1.343
"1994",-0.976
"1995",-1.527
"1996",-0.363
"1997",-1.976
"1998",0.718
"1999",0.698
"2000",1.453
"2001",0.024
"2002",0.392
"2003",-1.098
"2004",-1.078
"2005",-0.792
"2006",1.943
"2007",-0.771
"2008",-0.567
"2009",-0.322
"2010",2.208
"2011",0.8
"2012",2.392
"2013",0.882
"2014",-0.669
"2015",-1.588
"2016",1.188
"2017",0.024
"2018",0.943
"2019",-0.608
"2020",-1.241
"2021",0.963
"2022",0.29
"2023",0.637
"2024",1.637
"2025",NA
