"Date","Anomaly in Onset of Spring (weeks)"
"1993",-2.057
"1994",-0.486
"1995",-2.629
"1996",0.086
"1997",-2.343
"1998",-0.486
"1999",0.657
"2000",0.8
"2001",-0.486
"2002",0.229
"2003",-1.771
"2004",-2.057
"2005",-1.486
"2006",1.657
"2007",0.086
"2008",-0.343
"2009",0.371
"2010",5.657
"2011",1.371
"2012",1.514
"2013",1.086
"2014",-1.914
"2015",-1.2
"2016",0.8
"2017",0.943
"2018",-0.2
"2019",-0.486
"2020",0.514
"2021",1.514
"2022",0.657
"2023",2.657
"2024",4.514
"2025",3.229
