"Date","Anomaly in Onset of Spring (weeks)"
"1993",-1.37
"1994",-1.005
"1995",-1.9
"1996",-1.219
"1997",-1.925
"1998",0.273
"1999",0.68
"2000",1.424
"2001",-0.379
"2002",0.47
"2003",-1.064
"2004",-1.227
"2005",-0.879
"2006",2.462
"2007",-1.047
"2008",-0.303
"2009",-0.295
"2010",1.537
"2011",0.773
"2012",3.562
"2013",1.02
"2014",-0.606
"2015",-1.79
"2016",1.676
"2017",-0.181
"2018",1.373
"2019",-0.572
"2020",-1.295
"2021",1.1
"2022",0.705
"2023",0.604
"2024",2.02
"2025",NA
