"Date","Anomaly in Onset of Spring (weeks)"
"1993",0.693
"1994",-3.54
"1995",-2.895
"1996",-0.43
"1997",-2.716
"1998",3.329
"1999",6.374
"2000",1.778
"2001",-2.691
"2002",2.154
"2003",-4.205
"2004",-2.981
"2005",2.358
"2006",0.366
"2007",-2.956
"2008",-2.581
"2009",0.464
"2010",0.444
"2011",-1.479
"2012",0.533
"2013",-2.826
"2014",0.227
"2015",0.868
"2016",4.011
"2017",-0.442
"2018",5.15
"2019",-2.695
"2020",-0.185
"2021",2.766
"2022",1.105
"2023",0.227
"2024",0.782
"2025",-1.703
