"Date","Anomaly in Onset of Spring (weeks)"
"1993",-1.764
"1994",0.093
"1995",-1.678
"1996",-1.964
"1997",-2.421
"1998",-0.707
"1999",0.236
"2000",1.408
"2001",-1.164
"2002",2.379
"2003",-1.907
"2004",-0.621
"2005",-0.078
"2006",1.979
"2007",-1.678
"2008",0.093
"2009",-0.364
"2010",2.093
"2011",1.55
"2012",5.093
"2013",1.322
"2014",-1.507
"2015",-1.507
"2016",1.15
"2017",-0.678
"2018",2.093
"2019",-0.907
"2020",-1.192
"2021",1.293
"2022",-0.65
"2023",0.522
"2024",1.808
"2025",-0.278
