"Date","Anomaly in Onset of Spring (weeks)"
"1993",-2.002
"1994",0.069
"1995",-1.145
"1996",-0.645
"1997",-0.86
"1998",0.498
"1999",0.498
"2000",1.355
"2001",-0.431
"2002",0.498
"2003",-0.645
"2004",-2.36
"2005",-1.288
"2006",0.64
"2007",-0.931
"2008",0.212
"2009",-0.502
"2010",0.498
"2011",0.498
"2012",2.783
"2013",0.64
"2014",0.283
"2015",-1.36
"2016",1.069
"2017",-0.788
"2018",0.355
"2019",-0.145
"2020",0.355
"2021",1.355
"2022",1.498
"2023",1.212
"2024",1.355
"2025",NA
