"Date","Anomaly in Onset of Spring (weeks)"
"1993",-1.552
"1994",-0.295
"1995",-1.352
"1996",-0.91
"1997",-2.124
"1998",0.005
"1999",0.662
"2000",3.562
"2001",-0.395
"2002",0.448
"2003",-2.295
"2004",-1.538
"2005",-1.467
"2006",0.762
"2007",-1.538
"2008",-0.538
"2009",-0.181
"2010",1.633
"2011",0.219
"2012",2.876
"2013",0.948
"2014",-1.024
"2015",-1.952
"2016",1.219
"2017",-0.067
"2018",0.905
"2019",-0.952
"2020",1.233
"2021",2.562
"2022",1.148
"2023",1.876
"2024",1.79
"2025",NA
