"Date","Anomaly in Onset of Spring (weeks)"
"1993",-2.636
"1994",-0.112
"1995",-3.874
"1996",-3.826
"1997",-3.54
"1998",-2.183
"1999",5.15
"2000",6.079
"2001",2.626
"2002",-0.707
"2003",-2.755
"2004",-3.493
"2005",-1.445
"2006",0.031
"2007",-3.945
"2008",-3.064
"2009",-1.802
"2010",5.864
"2011",-0.517
"2012",2.055
"2013",8.96
"2014",3.698
"2015",-3.469
"2016",2.15
"2017",-3.064
"2018",6.602
"2019",-0.279
"2020",-4.112
"2021",-0.279
"2022",1.888
"2023",-1.064
"2024",-0.564
"2025",-1.898
