"Date","Anomaly in Onset of Spring (weeks)"
"1993",-1.529
"1994",0.471
"1995",-1.671
"1996",-1.671
"1997",-1.957
"1998",-0.1
"1999",-0.243
"2000",1.186
"2001",0.757
"2002",0.329
"2003",-1.243
"2004",0.471
"2005",0.757
"2006",2.329
"2007",-1.529
"2008",-0.243
"2009",-0.529
"2010",2.186
"2011",1.329
"2012",2.186
"2013",-0.1
"2014",-2.1
"2015",-1.1
"2016",-0.1
"2017",-0.243
"2018",-0.386
"2019",-0.1
"2020",-0.243
"2021",2.329
"2022",0.757
"2023",1.043
"2024",0.757
"2025",0.9
