"Date","Anomaly in Onset of Spring (weeks)"
"1993",-2.019
"1994",0.838
"1995",0.124
"1996",-1.448
"1997",-2.448
"1998",-0.448
"1999",0.124
"2000",2.267
"2001",-0.448
"2002",1.124
"2003",-1.733
"2004",0.124
"2005",-0.019
"2006",1.981
"2007",-1.448
"2008",-0.162
"2009",-0.448
"2010",1.981
"2011",1.552
"2012",0.981
"2013",1.981
"2014",-2.162
"2015",-2.162
"2016",2.41
"2017",0.695
"2018",2.267
"2019",-0.448
"2020",-2.019
"2021",-0.448
"2022",-0.59
"2023",0.838
"2024",0.695
"2025",-0.019
