"Date","Anomaly in Onset of Spring (weeks)"
"1993",-1.424
"1994",-0.852
"1995",-1.138
"1996",-0.995
"1997",-1.71
"1998",1.005
"1999",1.005
"2000",0.433
"2001",-0.424
"2002",-0.424
"2003",-1.995
"2004",-1.281
"2005",-0.567
"2006",1.005
"2007",-1.281
"2008",0.005
"2009",0.29
"2010",1.719
"2011",0.29
"2012",2.29
"2013",0.576
"2014",-0.281
"2015",-1.281
"2016",0.862
"2017",0.433
"2018",1.148
"2019",-0.281
"2020",0.576
"2021",1.148
"2022",1.148
"2023",1.005
"2024",1.719
"2025",NA
